trial_id,phase_id,phase_label,ramp_configuration,ramps_up,ramps_down,turns_per_block,speed_factor,headway_arrival_min,corner_delay_per_turn_min,service_time_min,arrival_rate_blocks_per_min,service_rate_blocks_per_min,utilization,per_ramp_capacity_blocks_per_hour,total_capacity_blocks_per_hour,mean_corner_queue_length,waiting_probability,blocking_probability,mc_settings
29,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.827144746033774,4.758559839258811,0.0,4.8359129634569085,0.21014761477828955,0.2067861865084435,1.016255574545879,12.40717119050661,148.88605428607931,10.162555745458791,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
30,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.0915244766212273,4.30091325529338,0.0,3.6645994530345747,0.23250875817345137,0.27288111915530683,0.8520514680281781,16.37286714931841,196.4744057918209,0.10463674419998466,0.8520514680281781,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
31,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.1223810779539085,4.153722996141037,0.0,3.5638519559613098,0.24074787869317166,0.28059526948847713,0.8579897983741959,16.83571616930863,202.02859403170356,0.11053706379220775,0.8579897983741959,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
32,1,Phase 1,16 straight edge-ramps,12,4,0.0,1.233754866217105,4.502677423093154,0.0,3.2421351352109817,0.22209008241879366,0.30843871655427624,0.7200460593918736,18.506322993256575,222.0758759190789,0.03949091451452794,0.7200460593918736,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
33,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.912912679069076,4.451997914296101,0.0,4.381580069715888,0.22461825437717184,0.228228169767269,0.9841828666733896,13.69369018603614,164.3242822324337,1.3058312129981946,0.9841828666733896,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
34,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.9352298530174344,3.221052378836627,0.0,4.277023436638984,0.31045754070015397,0.23380746325435864,1.3278341776558598,14.028447795261519,168.34137354313822,13.278341776558598,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
35,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.984777905637904,4.998932220813378,0.0,4.0618295527344745,0.2000427202906323,0.24619447640947598,0.8125394330858866,14.771668584568559,177.2600230148227,0.07510038917862698,0.8125394330858866,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
36,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.8447356795421428,4.883779452897457,0.0,4.735209009009836,0.2047594510859245,0.2111839198855357,0.9695787974619784,12.671035193132141,152.0524223175857,0.65895091035722,0.9695787974619784,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
37,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.8149607526677358,4.793183925723833,0.0,4.908211821129039,0.20862959058033373,0.20374018816693396,1.0239982227237057,12.224411290016038,146.69293548019246,10.239982227237057,1.0,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
38,1,Phase 1,16 straight edge-ramps,12,4,0.0,0.9878524631129668,4.244578267884814,0.0,4.049187656418868,0.23559466615709895,0.2469631157782417,0.953967014121449,14.817786946694502,177.81344336033402,0.4215613537633444,0.953967014121449,0.0,"±25% speed; ±1 min headway; lognormal corner delays (median 2.8 min, σ=0.35)"
