scenario,duration_years
baseline,11.849165807631405
baseline,11.80663631019339
baseline,11.860687234888369
baseline,12.071008159456728
baseline,11.382157327302675
baseline,12.369225782432375
baseline,12.342760264398278
baseline,12.177762452618223
baseline,12.27942054405087
baseline,12.125563003742812
baseline,13.192027287479736
baseline,11.902223304263027
baseline,11.775929137493307
baseline,11.523754943664548
baseline,11.369072027225542
baseline,11.252708791291344
baseline,11.448425002399425
baseline,11.911700760325274
baseline,12.147846023085616
baseline,11.982259509290325
baseline,11.517047903694012
baseline,12.48570407978531
baseline,12.388767192694772
baseline,11.860420691683565
baseline,11.580107189389901
baseline,12.27459663937956
baseline,12.061992515973092
baseline,11.14216229342077
baseline,11.913260561506583
baseline,12.105371646615023
baseline,11.442377938232061
baseline,12.06308575710758
baseline,11.138546651570097
baseline,12.75244643296268
baseline,12.698005666234364
baseline,11.807128819390604
baseline,12.165028367541495
baseline,10.634668361702019
baseline,11.300884854693855
baseline,11.783528619480911
baseline,11.34711748106209
baseline,12.373751958367746
baseline,13.16788187380743
baseline,11.289786840102783
baseline,11.47695370652569
baseline,12.089781037674479
baseline,12.92358494964581
